Session,Rat,trialtype,cue,mu,tau
2,32,0,2,0.339444507301866,0.25009577150117
3,32,0,2,0.29193877406358,0.362295534624685
3.5,32,0,2,0.335016599579535,0.28497312829881
4,32,0,2,0.284366646783354,0.351236296245237
4.5,32,0,2,0.339196387610926,0.227968969856599
5,32,0,2,0.314647469638042,0.289788488626557
1,1,0,2,0.76253599068052,0.269179683837577
1,2,0,2,0.528963970729584,0.367553749567462
1,3,0,2,0.393999981183799,0.196614686625151
1,5,0,2,1.13354156294233,0.012995343434893
1,6,0,2,0.536562292134903,0.178804372471741
1,7,0,2,0.526695616200411,0.252440901584015
1,8,0,2,0.698593289075405,0.285732390200828
1,10,0,2,0.514572675253047,0.16997100877363
1,11,0,2,0.321010726688366,0.267126396277569
1,13,0,2,0.357920130472341,0.208762664322996
1,LTC17,1,2,0.273999999190131,0.321689847382899
2,LTC17,1,2,0.340155360678026,0.271561723921458
3,LTC17,1,2,0.291999996498715,0.275522945392091
4,LTC17,1,2,0.346479161250292,0.360512190499956
5,LTC17,1,2,0.305308279989227,0.205762056158685
1,LTC23,1,2,0.412939545508439,0.418441604936399
2,LTC23,1,2,0.289350812512951,0.387603360675686
3,LTC23,1,2,0.319036028110806,0.363892591236326
4,LTC23,1,2,0.308338246967446,0.638128238866609
5,LTC23,1,2,0.297819954596424,0.370682174185291
1,LTC13,1,2,0.533132891741649,0.215048443793178
2,LTC13,1,2,0.483999997866317,0.333643840940093
3,LTC13,1,2,0.563738106168221,0.12330425518025
4,LTC13,1,2,0.50738122985426,0.369656010864578
5,LTC13,1,2,0.373999971026415,0.38533708234332
1,LTC16,1,2,0.377999950604678,0.424665311772448
2,LTC16,1,2,0.928654280468325,0.09340915975191
3,LTC16,1,2,0.373439136758777,0.282961099558163
4,LTC16,1,2,0.519529611915772,0.327664046619638
5,LTC16,1,2,0.33160021771782,0.429748460168623
1,LTC15,1,2,0.477366581280587,0.3904286550719
2,LTC15,1,2,0.420231016289292,0.396007225680493
3,LTC15,1,2,0.325999723773295,0.355523108831733
4,LTC15,1,2,0.388546651970201,0.375617271218577
5,LTC15,1,2,0.338702973740543,0.492741179590688
1,21,1,2,0.407999684829699,0.262247921870188
2,21,1,2,0.349466457378076,0.248669815524443
3,21,1,2,0.540560003808409,0.323448298335479
4,21,1,2,0.373999847050043,0.291353694547848
5,21,1,2,0.275999991470885,0.266228424218668
1,33,1,2,0.373999943620318,0.501899134341371
2,33,1,2,0.407638026705766,0.24798355161927
3,33,1,2,0.331998667986907,0.320730250144146
4,33,1,2,0.422992961999679,0.389375904193264
5,33,1,2,0.395486094394759,0.233491236627799
1,25,1,2,1.07826410203261,0.011788281714847
2,25,1,2,0.421999862229723,0.377370901786143
3,25,1,2,0.495743619006736,0.296343830673195
4,25,1,2,0.281999986329588,0.47387879478189
5,25,1,2,0.357999890687761,0.294784314821892
1,26,1,2,0.945151769029376,0.008254978408901
2,26,1,2,0.349417648004804,0.391645763329476
3,26,1,2,0.289999963822647,0.462745002181457
4,26,1,2,0.504262684888434,0.300803046154112
5,26,1,2,0.348598685369141,0.301114937696635
1,27,1,2,0.44079485206841,0.269574453231247
2,27,1,2,0.497723733689134,0.30997049330859
3,27,1,2,0.488003475097822,0.208710291078465
4,27,1,2,0.411738978465028,0.296387746503676
5,27,1,2,0.371947902140209,0.384922043872236
1,28,1,2,0.285999993261701,0.34434949364334
2,28,1,2,0.418428247727984,0.213384169096554
3,28,1,2,0.329857951683428,0.293299763958969
4,28,1,2,0.23799991927252,0.332479089505525
5,28,1,2,0.289982833836216,0.396492762502973
1,29,1,2,0.51688149103817,0.335118180849074
2,29,1,2,0.412247383438669,0.248641681480254
3,29,1,2,0.410838415010865,0.284418391065057
4,29,1,2,0.302824242777667,0.319799725089693
5,29,1,2,0.322111673079019,0.354615943755389
1,30,1,2,0.413317376878742,0.452121210416698
2,30,1,2,0.393999883528559,0.327057052799699
3,30,1,2,0.328155543943472,0.298507625017772
4,30,1,2,0.466700508305395,0.284909425040288
5,30,1,2,0.383999992812564,0.462851649085379
1,31,1,2,0.456425898913512,0.356430332217189
2,31,1,2,0.28671753684256,0.246394611892017
3,31,1,2,0.309999989340175,0.239486963940333
4,31,1,2,0.272246045524158,0.260658838550004
5,31,1,2,0.30913061031316,0.396663316391134
1,32,1,2,1.0904681632979,0.027001553541745
2,32,1,2,0.409999962903837,0.490352416191232
3,32,1,2,0.345999923855996,0.505101003063083
4,32,1,2,0.289999350143558,0.539349383148768
5,32,1,2,0.351999945475365,0.359439560599033
1,1,1,2,0.672062858199006,0.398376504935815
1,2,1,2,0.447999945626858,0.505343584082606
1,3,1,2,0.636992287985921,0.099031204038921
1,5,1,2,0.457999747002302,0.583220917614972
1,6,1,2,0.688463713583891,0.022208935624941
1,7,1,2,0.846102903423542,0.007901770746797
1,8,1,2,0.561999918469074,0.500190481058605
1,10,1,2,0.487999968930352,0.184966427306862
1,11,1,2,0.433999983297855,0.375009873919124
1,13,1,2,0.395999654976055,0.350245048775138
