Session,Rat,trialtype,cue,medRT,HVpref
2,LTC23,0,2,0.494000000000085,0.387755102040816
3,LTC23,0,2,0.537999999999954,0.375
3.5,LTC23,0,2,0.594000000000051,1
4,LTC23,0,2,0.72400000000016,0.328767123287671
5,LTC23,0,2,0.568000000000097,0.318181818181818
0.5,LTC13,0,2,0.641000000000005,1
1,LTC13,0,2,0.567999999999984,0.354838709677419
1.5,LTC13,0,2,0.662000000000035,1
2,LTC13,0,2,0.653000000000134,0.298701298701299
2.5,LTC13,0,2,0.609000000000037,1
3,LTC13,0,2,0.589999999999691,0.303448275862069
4,LTC13,0,2,0.593999999999994,0.286885245901639
4.5,LTC13,0,2,0.553999999999974,1
5,LTC13,0,2,0.52800000000002,0.28169014084507
0.5,LTC16,0,2,0.637000000000171,1
1,LTC16,0,2,0.617999999999938,0.369369369369369
2,LTC16,0,2,0.741999999999962,0.312977099236641
2.5,LTC16,0,2,0.55600000000004,1
3,LTC16,0,2,0.489999999999782,0.308333333333333
3.5,LTC16,0,2,0.486000000000104,1
4,LTC16,0,2,0.604999999999905,0.327102803738318
4.5,LTC16,0,2,0.654000000000053,1
5,LTC16,0,2,0.561999999999898,0.361344537815126
0.5,LTC15,0,2,0.610000000000127,1
1,LTC15,0,2,0.596000000000004,0.27891156462585
2,LTC15,0,2,0.549999999999955,0.290076335877863
2.5,LTC15,0,2,0.488000000000056,1
3,LTC15,0,2,0.491000000000042,0.335526315789474
4,LTC15,0,2,0.481999999999971,0.301470588235294
4.5,LTC15,0,2,0.518000000000029,1
5,LTC15,0,2,0.541999999999916,0.2578125
0.5,21,0,2,0.40199999999993,1
1,21,0,2,0.541999999999916,0.21875
1.5,21,0,2,0.519000000000005,1
2,21,0,2,0.507000000000062,0.215277777777778
2.5,21,0,2,0.527999999999992,1
3,21,0,2,0.679999999999836,0.21969696969697
3.5,21,0,2,0.438000000000045,1
4,21,0,2,0.478000000000009,0.158273381294964
4.5,21,0,2,0.414000000000101,1
5,21,0,2,0.433999999999969,0.301470588235294
0.5,33,0,2,0.55399999999986,1
1,33,0,2,0.561000000000036,0.17037037037037
1.5,33,0,2,0.516000000000076,1
2,33,0,2,0.472000000000037,0.120567375886525
2.5,33,0,2,0.460000000000008,1
3,33,0,2,0.478999999999928,0.1953125
3.5,33,0,2,0.471000000000004,1
4,33,0,2,0.539999999999964,0.12258064516129
4.5,33,0,2,0.420000000000016,1
5,33,0,2,0.449999999999818,0.122093023255814
0.5,25,0,2,0.471000000000037,1
1,25,0,2,0.550999999999988,0.336206896551724
1.5,25,0,2,0.628000000000156,1
2,25,0,2,0.48599999999999,0.24390243902439
2.5,25,0,2,0.589999999999847,1
3,25,0,2,0.613999999999919,0.17037037037037
3.5,25,0,2,0.621999999999957,1
4,25,0,2,0.625,0.201342281879195
4.5,25,0,2,0.568000000000041,1
5,25,0,2,0.552000000000021,0.321917808219178
0.5,26,0,2,0.569999999999936,1
1,26,0,2,0.620999999999981,0.2
1.5,26,0,2,0.523000000000138,1
2,26,0,2,0.489000000000033,0.18705035971223
2.5,26,0,2,0.557999999999993,1
3,26,0,2,0.559999999999945,0.102362204724409
3.5,26,0,2,0.598999999999933,1
4,26,0,2,0.588000000000193,0.192660550458715
4.5,26,0,2,0.465999999999895,1
5,26,0,2,0.478000000000066,0.212121212121212
0.5,27,0,2,0.550000000000182,1
1,27,0,2,0.555000000000035,0.185714285714286
1.5,27,0,2,0.593999999999994,1
2,27,0,2,0.55600000000004,0.223140495867769
2.5,27,0,2,0.469999999999899,1
3,27,0,2,0.638000000000034,0.24390243902439
3.5,27,0,2,0.569999999999709,1
4,27,0,2,0.602000000000032,0.259842519685039
4.5,27,0,2,0.586000000000013,1
5,27,0,2,0.632000000000062,0.207407407407407
0.5,28,0,2,0.54099999999994,1
1,28,0,2,0.523999999999887,0.265625
1.5,28,0,2,0.557999999999993,1
2,28,0,2,0.496999999999844,0.17910447761194
3,28,0,2,0.458000000000027,0.292307692307692
3.5,28,0,2,0.49799999999982,1
4,28,0,2,0.494000000000142,0.216783216783217
4.5,28,0,2,0.468000000000018,1
5,28,0,2,0.480999999999994,0.244897959183673
0.5,29,0,2,0.546000000000001,1
1,29,0,2,0.551999999999964,0.252747252747253
1.5,29,0,2,0.52600000000001,1
2,29,0,2,0.647000000000046,0.204301075268817
3,29,0,2,0.518000000000029,0.229508196721311
3.5,29,0,2,0.534000000000006,1
4,29,0,2,0.584000000000074,0.283783783783784
4.5,29,0,2,0.629000000000133,1
5,29,0,2,0.539999999999964,0.297520661157025
0.5,30,0,2,0.604000000000269,1
1,30,0,2,0.59699999999998,0.271739130434783
1.5,30,0,2,0.581999999999937,1
2,30,0,2,0.618000000000052,0.30188679245283
3,30,0,2,0.538999999999987,0.434782608695652
3.5,30,0,2,0.547999999999774,1
4,30,0,2,0.589999999999918,0.279411764705882
4.5,30,0,2,0.545999999999822,1
5,30,0,2,0.595999999999975,0.268456375838926
0.5,31,0,2,0.463999999999942,1
1,31,0,2,0.452999999999861,0.302752293577982
1.5,31,0,2,0.485999999999876,1
2,31,0,2,0.423999999999978,0.31578947368421
3,31,0,2,0.467999999999961,0.209302325581395
3.5,31,0,2,0.445999999999913,1
4,31,0,2,0.425999999999931,0.309352517985611
4.5,31,0,2,0.438000000000017,1
5,31,0,2,0.440000000000055,0.262773722627737
0.5,32,0,2,0.505999999999972,1
1,32,0,2,0.543999999999983,0.202702702702703
1.5,32,0,2,0.671000000000049,1
2,32,0,2,0.522000000000048,0.239130434782609
3,32,0,2,0.539999999999964,0.206185567010309
3.5,32,0,2,0.558999999999969,1
4,32,0,2,0.513000000000034,0.194690265486726
4.5,32,0,2,0.475999999999942,1
5,32,0,2,0.506000000000029,0.189873417721519
1,1,0,2,1.00900000000001,0.314814814814815
1,2,0,2,0.860000000000071,0.351851851851852
1,3,0,2,0.561000000000092,0.210526315789474
1,5,0,2,1.15999999999985,0.376623376623377
1,6,0,2,0.673000000000002,0.258620689655172
1,7,0,2,0.708999999999946,0.125
1,8,0,2,0.947999999999979,0.244444444444444
1,10,0,2,0.659999999999997,0.28
1,11,0,2,0.495999999999981,0.285714285714286
1,13,0,2,0.52000000000001,0.347826086956522
1,LTC17,1,2,0.42999999999995,0.338028169014084
2,LTC17,1,2,0.521000000000186,0.248322147651007
3,LTC17,1,2,0.488000000000284,0.320224719101124
4,LTC17,1,2,0.642999999999915,0.222222222222222
5,LTC17,1,2,0.47199999999998,0.339080459770115
1,LTC23,1,2,0.723999999999705,0.357894736842105
2,LTC23,1,2,0.590000000000032,0.387755102040816
3,LTC23,1,2,0.541999999999916,0.375
4,LTC23,1,2,0.824000000000069,0.328767123287671
5,LTC23,1,2,0.539999999999964,0.318181818181818
1,LTC13,1,2,0.673999999999978,0.354838709677419
2,LTC13,1,2,0.704000000000065,0.298701298701299
3,LTC13,1,2,0.668999999999983,0.303448275862069
4,LTC13,1,2,0.826999999999998,0.286885245901639
5,LTC13,1,2,0.634000000000015,0.28169014084507
1,LTC16,1,2,0.65900000000002,0.369369369369369
2,LTC16,1,2,0.911999999999807,0.312977099236641
3,LTC16,1,2,0.579999999999927,0.308333333333333
4,LTC16,1,2,0.807999999999993,0.327102803738318
5,LTC16,1,2,0.677999999999997,0.361344537815126
1,LTC15,1,2,0.783999999999992,0.27891156462585
2,LTC15,1,2,0.68799999999996,0.290076335877863
3,LTC15,1,2,0.557999999999993,0.335526315789474
4,LTC15,1,2,0.674000000000035,0.301470588235294
5,LTC15,1,2,0.646999999999963,0.2578125
1,21,1,2,0.552000000000021,0.21875
2,21,1,2,0.5300000000002,0.215277777777778
3,21,1,2,0.767999999999994,0.21969696969697
4,21,1,2,0.605000000000132,0.158273381294964
5,21,1,2,0.501999999999953,0.301470588235294
1,33,1,2,0.711999999999989,0.17037037037037
2,33,1,2,0.650999999999954,0.120567375886525
3,33,1,2,0.545999999999822,0.1953125
4,33,1,2,0.753999999999905,0.12258064516129
5,33,1,2,0.563999999999965,0.122093023255814
1,25,1,2,1.07899999999995,0.336206896551724
2,25,1,2,0.716000000000008,0.24390243902439
3,25,1,2,0.743999999999915,0.17037037037037
4,25,1,2,0.55600000000004,0.201342281879195
5,25,1,2,0.590000000000032,0.321917808219178
1,26,1,2,1.01800000000003,0.2
2,26,1,2,0.670000000000016,0.18705035971223
3,26,1,2,0.679999999999836,0.102362204724409
4,26,1,2,0.903999999999996,0.192660550458715
5,26,1,2,0.587999999999965,0.212121212121212
1,27,1,2,0.613999999999919,0.185714285714286
2,27,1,2,0.731999999999971,0.223140495867769
3,27,1,2,0.644999999999882,0.24390243902439
4,27,1,2,0.693000000000211,0.259842519685039
5,27,1,2,0.634000000000015,0.207407407407407
1,28,1,2,0.574000000000069,0.265625
2,28,1,2,0.613000000000064,0.17910447761194
3,28,1,2,0.564999999999884,0.292307692307692
4,28,1,2,0.432000000000016,0.216783216783217
5,28,1,2,0.575999999999908,0.244897959183673
1,29,1,2,0.841999999999956,0.252747252747253
2,29,1,2,0.636000000000024,0.204301075268817
3,29,1,2,0.639999999999873,0.229508196721311
4,29,1,2,0.552999999999997,0.283783783783784
5,29,1,2,0.593999999999994,0.297520661157025
1,30,1,2,0.720000000000027,0.271739130434783
2,30,1,2,0.594000000000051,0.30188679245283
3,30,1,2,0.511999999999944,0.434782608695652
4,30,1,2,0.673000000000002,0.279411764705882
5,30,1,2,0.786000000000058,0.268456375838926
1,31,1,2,0.710999999999785,0.302752293577982
2,31,1,2,0.424000000000035,0.31578947368421
3,31,1,2,0.474999999999909,0.209302325581395
4,31,1,2,0.460000000000019,0.309352517985611
5,31,1,2,0.524000000000058,0.262773722627737
1,32,1,2,1.11200000000008,0.202702702702703
2,32,1,2,0.802999999999997,0.239130434782609
3,32,1,2,0.737999999999943,0.206185567010309
4,32,1,2,0.666000000000167,0.194690265486726
5,32,1,2,0.58400000000006,0.189873417721519
1,1,1,2,1.02199999999999,0.314814814814815
1,2,1,2,0.842000000000098,0.351851851851852
1,3,1,2,0.662999999999954,0.210526315789474
1,5,1,2,0.961999999999989,0.376623376623377
1,6,1,2,0.709999999999809,0.258620689655172
1,7,1,2,0.856000000000051,0.125
1,8,1,2,0.908000000000015,0.244444444444444
1,10,1,2,0.605000000000018,0.28
1,11,1,2,0.659999999999968,0.285714285714286
1,13,1,2,0.595999999999973,0.347826086956522
